Gene	Gene panel	CNA	Custom Driver	Custom Driver Tiers	Cytoband	mRNA Expr.	Cohort
NCAM1	N/A	DeepDel			11q23.2	N/A	N/A
SYT1	N/A	DeepDel			12q21.2	N/A	N/A
KERA	N/A	DeepDel			12q21.33	N/A	N/A
LUM	N/A	DeepDel			12q21.33	N/A	N/A
DCN	N/A	DeepDel			12q21.33	N/A	N/A
VPS13C	N/A	DeepDel			15q22.2	N/A	N/A
PCDH11X	N/A	AMP			Xq21.31	N/A	N/A
ZMAT1	N/A	DeepDel			Xq22.1	N/A	N/A
TTN-AS1	N/A	DeepDel			2q31.2	N/A	N/A
ADGRB3	N/A	DeepDel			6q12-q13	N/A	N/A
NELL1	N/A	DeepDel			11p15.1	N/A	N/A
KCNH8	N/A	DeepDel			3p24.3	N/A	N/A
ALCAM	N/A	DeepDel			3q13.11	N/A	N/A
NPY2R	N/A	AMP			4q32.1	N/A	N/A
FSTL5	N/A	DeepDel			4q32.2	N/A	N/A
SLF1	N/A	DeepDel			5q15	N/A	N/A
MCTP1	N/A	DeepDel			5q15	N/A	N/A
STAU2	N/A	DeepDel			8q21.11	N/A	N/A
DMD	N/A	DeepDel			Xp21.2-p21.1	N/A	N/A
IL1RAPL2	N/A	DeepDel			Xq22.3	N/A	N/A
COL4A6	N/A	DeepDel			Xq22.3	N/A	N/A
RTL4	N/A	DeepDel			Xq23	N/A	N/A
TAFA1	N/A	DeepDel			3p14.1	N/A	N/A
FAM133A	N/A	AMP			Xq21.32	N/A	N/A
NAP1L3	N/A	AMP			Xq21.32	N/A	N/A
LINC00693	N/A	DeepDel			3p24.1	N/A	N/A
LINC00534	N/A	DeepDel			8q21.3	N/A	N/A
MIR924HG	N/A	DeepDel			18q12.2-q12.3	N/A	N/A
FRMPD4	N/A	DeepDel			Xp22.2	N/A	N/A
DACH2	N/A	DeepDel			Xq21.2	N/A	N/A
EDNRB-AS1	N/A	DeepDel			13q22.3	N/A	N/A
OBI1-AS1	N/A	DeepDel			13q22.3-q31.1	N/A	N/A
XRCC6P5	N/A	DeepDel			Xq22.1	N/A	N/A
EPHA5-AS1	N/A	DeepDel			4q13.2	N/A	N/A
DPYD-AS1	N/A	DeepDel			1p21.3	N/A	N/A
SCHLAP1	N/A	DeepDel			2q31.3	N/A	N/A
LINC01470	N/A	DeepDel			5q33.1	N/A	N/A
LINC02426	N/A	DeepDel			12q21.31	N/A	N/A
LINC02147	N/A	DeepDel			5q23.1	N/A	N/A
MMADHC-DT	N/A	DeepDel			2q23.3	N/A	N/A
SCN1A-AS1	N/A	DeepDel			2q24.3	N/A	N/A
